"region","arbetsställets sektortillhörighet","år",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0685 Vetlanda","primärkommunal förvaltning","2009",2792
"0685 Vetlanda","primärkommunal förvaltning","2010",2864
"0685 Vetlanda","primärkommunal förvaltning","2011",2725
"0685 Vetlanda","primärkommunal förvaltning","2012",2748
"0685 Vetlanda","primärkommunal förvaltning","2013",2755
"0685 Vetlanda","primärkommunal förvaltning","2014",2732
"0685 Vetlanda","primärkommunal förvaltning","2015",2806
"0685 Vetlanda","primärkommunal förvaltning","2016",3022
"0685 Vetlanda","primärkommunal förvaltning","2017",3028
"0685 Vetlanda","landsting","2008",413
"0685 Vetlanda","landsting","2009",418
"0685 Vetlanda","landsting","2010",380
"0685 Vetlanda","landsting","2011",370
"0685 Vetlanda","landsting","2012",386
"0685 Vetlanda","landsting","2013",369
"0685 Vetlanda","landsting","2014",352
"0685 Vetlanda","landsting","2015",354
"0685 Vetlanda","landsting","2016",361
"0685 Vetlanda","landsting","2017",356
"0685 Vetlanda","kommunalt ägda företag och organisationer","2008",133
"0685 Vetlanda","kommunalt ägda företag och organisationer","2009",132
"0685 Vetlanda","kommunalt ägda företag och organisationer","2010",148
"0685 Vetlanda","kommunalt ägda företag och organisationer","2011",139
"0685 Vetlanda","kommunalt ägda företag och organisationer","2012",153
"0685 Vetlanda","kommunalt ägda företag och organisationer","2013",158
"0685 Vetlanda","kommunalt ägda företag och organisationer","2014",153
"0685 Vetlanda","kommunalt ägda företag och organisationer","2015",156
"0685 Vetlanda","kommunalt ägda företag och organisationer","2016",169
"0685 Vetlanda","kommunalt ägda företag och organisationer","2017",181
"0686 Eksjö","primärkommunal förvaltning","2008",1836
"0686 Eksjö","primärkommunal förvaltning","2009",1766
"0686 Eksjö","primärkommunal förvaltning","2010",1772
"0686 Eksjö","primärkommunal förvaltning","2011",1751
"0686 Eksjö","primärkommunal förvaltning","2012",1794
"0686 Eksjö","primärkommunal förvaltning","2013",1856
"0686 Eksjö","primärkommunal förvaltning","2014",1877
"0686 Eksjö","primärkommunal förvaltning","2015",1935
"0686 Eksjö","primärkommunal förvaltning","2016",2058
"0686 Eksjö","primärkommunal förvaltning","2017",2080
"0686 Eksjö","landsting","2008",967
"0686 Eksjö","landsting","2009",963
"0686 Eksjö","landsting","2010",936
"0686 Eksjö","landsting","2011",945
"0686 Eksjö","landsting","2012",941
"0686 Eksjö","landsting","2013",948
"0686 Eksjö","landsting","2014",965
"0686 Eksjö","landsting","2015",947
"0686 Eksjö","landsting","2016",931
"0686 Eksjö","landsting","2017",913
"0686 Eksjö","kommunalt ägda företag och organisationer","2008",121
"0686 Eksjö","kommunalt ägda företag och organisationer","2009",126
"0686 Eksjö","kommunalt ägda företag och organisationer","2010",142
"0686 Eksjö","kommunalt ägda företag och organisationer","2011",147
"0686 Eksjö","kommunalt ägda företag och organisationer","2012",152
"0686 Eksjö","kommunalt ägda företag och organisationer","2013",138
"0686 Eksjö","kommunalt ägda företag och organisationer","2014",141
"0686 Eksjö","kommunalt ägda företag och organisationer","2015",129
"0686 Eksjö","kommunalt ägda företag och organisationer","2016",172
"0686 Eksjö","kommunalt ägda företag och organisationer","2017",185
"0687 Tranås","primärkommunal förvaltning","2008",1832
"0687 Tranås","primärkommunal förvaltning","2009",1757
"0687 Tranås","primärkommunal förvaltning","2010",1781
"0687 Tranås","primärkommunal förvaltning","2011",1719
"0687 Tranås","primärkommunal förvaltning","2012",1717
"0687 Tranås","primärkommunal förvaltning","2013",1782
"0687 Tranås","primärkommunal förvaltning","2014",1794
"0687 Tranås","primärkommunal förvaltning","2015",1907
"0687 Tranås","primärkommunal förvaltning","2016",1990
"0687 Tranås","primärkommunal förvaltning","2017",2066
"0687 Tranås","landsting","2008",220
"0687 Tranås","landsting","2009",225
"0687 Tranås","landsting","2010",229
"0687 Tranås","landsting","2011",228
"0687 Tranås","landsting","2012",232
"0687 Tranås","landsting","2013",215
"0687 Tranås","landsting","2014",216
"0687 Tranås","landsting","2015",220
"0687 Tranås","landsting","2016",231
"0687 Tranås","landsting","2017",229
"0687 Tranås","kommunalt ägda företag och organisationer","2008",117
"0687 Tranås","kommunalt ägda företag och organisationer","2009",119
"0687 Tranås","kommunalt ägda företag och organisationer","2010",119
"0687 Tranås","kommunalt ägda företag och organisationer","2011",116
"0687 Tranås","kommunalt ägda företag och organisationer","2012",93
"0687 Tranås","kommunalt ägda företag och organisationer","2013",84
"0687 Tranås","kommunalt ägda företag och organisationer","2014",90
"0687 Tranås","kommunalt ägda företag och organisationer","2015",92
"0687 Tranås","kommunalt ägda företag och organisationer","2016",90
"0687 Tranås","kommunalt ägda företag och organisationer","2017",86
"0760 Uppvidinge","primärkommunal förvaltning","2008",824
"0760 Uppvidinge","primärkommunal förvaltning","2009",817
"0760 Uppvidinge","primärkommunal förvaltning","2010",797
"0760 Uppvidinge","primärkommunal förvaltning","2011",784
"0760 Uppvidinge","primärkommunal förvaltning","2012",783
"0760 Uppvidinge","primärkommunal förvaltning","2013",798
"0760 Uppvidinge","primärkommunal förvaltning","2014",801
"0760 Uppvidinge","primärkommunal förvaltning","2015",872
"0760 Uppvidinge","primärkommunal förvaltning","2016",909
"0760 Uppvidinge","primärkommunal förvaltning","2017",941
"0760 Uppvidinge","landsting","2008",120
"0760 Uppvidinge","landsting","2009",121
"0760 Uppvidinge","landsting","2010",114
"0760 Uppvidinge","landsting","2011",109
"0760 Uppvidinge","landsting","2012",111
"0760 Uppvidinge","landsting","2013",112
"0760 Uppvidinge","landsting","2014",117
"0760 Uppvidinge","landsting","2015",124
"0760 Uppvidinge","landsting","2016",123
"0760 Uppvidinge","landsting","2017",125
"0760 Uppvidinge","kommunalt ägda företag och organisationer","2008",43
"0760 Uppvidinge","kommunalt ägda företag och organisationer","2009",45
"0760 Uppvidinge","kommunalt ägda företag och organisationer","2010",40
"0760 Uppvidinge","kommunalt ägda företag och organisationer","2011",51
"0760 Uppvidinge","kommunalt ägda företag och organisationer","2012",50
"0760 Uppvidinge","kommunalt ägda företag och organisationer","2013",54
"0760 Uppvidinge","kommunalt ägda företag och organisationer","2014",51
"0760 Uppvidinge","kommunalt ägda företag och organisationer","2015",40
"0760 Uppvidinge","kommunalt ägda företag och organisationer","2016",66
"0760 Uppvidinge","kommunalt ägda företag och organisationer","2017",68
"0761 Lessebo","primärkommunal förvaltning","2008",829
"0761 Lessebo","primärkommunal förvaltning","2009",798
"0761 Lessebo","primärkommunal förvaltning","2010",793
"0761 Lessebo","primärkommunal förvaltning","2011",789
"0761 Lessebo","primärkommunal förvaltning","2012",748
"0761 Lessebo","primärkommunal förvaltning","2013",764
"0761 Lessebo","primärkommunal förvaltning","2014",785
"0761 Lessebo","primärkommunal förvaltning","2015",825
"0761 Lessebo","primärkommunal förvaltning","2016",890
"0761 Lessebo","primärkommunal förvaltning","2017",963
"0761 Lessebo","landsting","2008",136
"0761 Lessebo","landsting","2009",143
"0761 Lessebo","landsting","2010",141
"0761 Lessebo","landsting","2011",144
"0761 Lessebo","landsting","2012",151
"0761 Lessebo","landsting","2013",148
"0761 Lessebo","landsting","2014",155
"0761 Lessebo","landsting","2015",166
"0761 Lessebo","landsting","2016",171
"0761 Lessebo","landsting","2017",165
"0761 Lessebo","kommunalt ägda företag och organisationer","2008",24
"0761 Lessebo","kommunalt ägda företag och organisationer","2009",26
"0761 Lessebo","kommunalt ägda företag och organisationer","2010",26
"0761 Lessebo","kommunalt ägda företag och organisationer","2011",26
"0761 Lessebo","kommunalt ägda företag och organisationer","2012",75
"0761 Lessebo","kommunalt ägda företag och organisationer","2013",73
"0761 Lessebo","kommunalt ägda företag och organisationer","2014",76
"0761 Lessebo","kommunalt ägda företag och organisationer","2015",80
"0761 Lessebo","kommunalt ägda företag och organisationer","2016",98
"0761 Lessebo","kommunalt ägda företag och organisationer","2017",51
"0763 Tingsryd","primärkommunal förvaltning","2008",1313
"0763 Tingsryd","primärkommunal förvaltning","2009",1268
"0763 Tingsryd","primärkommunal förvaltning","2010",1252
"0763 Tingsryd","primärkommunal förvaltning","2011",1258
"0763 Tingsryd","primärkommunal förvaltning","2012",1260
"0763 Tingsryd","primärkommunal förvaltning","2013",1257
"0763 Tingsryd","primärkommunal förvaltning","2014",1266
"0763 Tingsryd","primärkommunal förvaltning","2015",1199
"0763 Tingsryd","primärkommunal förvaltning","2016",1319
"0763 Tingsryd","primärkommunal förvaltning","2017",1324
"0763 Tingsryd","landsting","2008",193
"0763 Tingsryd","landsting","2009",192
"0763 Tingsryd","landsting","2010",199
"0763 Tingsryd","landsting","2011",199
"0763 Tingsryd","landsting","2012",204
"0763 Tingsryd","landsting","2013",209
"0763 Tingsryd","landsting","2014",220
"0763 Tingsryd","landsting","2015",230
"0763 Tingsryd","landsting","2016",223
"0763 Tingsryd","landsting","2017",224
"0763 Tingsryd","kommunalt ägda företag och organisationer","2008",41
"0763 Tingsryd","kommunalt ägda företag och organisationer","2009",43
"0763 Tingsryd","kommunalt ägda företag och organisationer","2010",47
"0763 Tingsryd","kommunalt ägda företag och organisationer","2011",44
"0763 Tingsryd","kommunalt ägda företag och organisationer","2012",51
"0763 Tingsryd","kommunalt ägda företag och organisationer","2013",72
"0763 Tingsryd","kommunalt ägda företag och organisationer","2014",74
"0763 Tingsryd","kommunalt ägda företag och organisationer","2015",65
"0763 Tingsryd","kommunalt ägda företag och organisationer","2016",69
"0763 Tingsryd","kommunalt ägda företag och organisationer","2017",72
"0764 Alvesta","primärkommunal förvaltning","2008",1886
"0764 Alvesta","primärkommunal förvaltning","2009",1882
"0764 Alvesta","primärkommunal förvaltning","2010",1873
"0764 Alvesta","primärkommunal förvaltning","2011",1867
"0764 Alvesta","primärkommunal förvaltning","2012",1919
"0764 Alvesta","primärkommunal förvaltning","2013",1923
"0764 Alvesta","primärkommunal förvaltning","2014",1925
"0764 Alvesta","primärkommunal förvaltning","2015",2008
"0764 Alvesta","primärkommunal förvaltning","2016",2117
"0764 Alvesta","primärkommunal förvaltning","2017",2149
"0764 Alvesta","landsting","2008",425
"0764 Alvesta","landsting","2009",410
"0764 Alvesta","landsting","2010",409
"0764 Alvesta","landsting","2011",414
"0764 Alvesta","landsting","2012",407
"0764 Alvesta","landsting","2013",409
"0764 Alvesta","landsting","2014",413
"0764 Alvesta","landsting","2015",435
"0764 Alvesta","landsting","2016",450
"0764 Alvesta","landsting","2017",464
"0764 Alvesta","kommunalt ägda företag och organisationer","2008",179
"0764 Alvesta","kommunalt ägda företag och organisationer","2009",186
"0764 Alvesta","kommunalt ägda företag och organisationer","2010",179
"0764 Alvesta","kommunalt ägda företag och organisationer","2011",187
"0764 Alvesta","kommunalt ägda företag och organisationer","2012",194
"0764 Alvesta","kommunalt ägda företag och organisationer","2013",181
"0764 Alvesta","kommunalt ägda företag och organisationer","2014",186
"0764 Alvesta","kommunalt ägda företag och organisationer","2015",181
"0764 Alvesta","kommunalt ägda företag och organisationer","2016",177
"0764 Alvesta","kommunalt ägda företag och organisationer","2017",183
"0765 Älmhult","primärkommunal förvaltning","2008",1426
"0765 Älmhult","primärkommunal förvaltning","2009",1382
"0765 Älmhult","primärkommunal förvaltning","2010",1351
"0765 Älmhult","primärkommunal förvaltning","2011",1365
"0765 Älmhult","primärkommunal förvaltning","2012",1365
"0765 Älmhult","primärkommunal förvaltning","2013",1390
"0765 Älmhult","primärkommunal förvaltning","2014",1425
"0765 Älmhult","primärkommunal förvaltning","2015",1454
"0765 Älmhult","primärkommunal förvaltning","2016",1488
"0765 Älmhult","primärkommunal förvaltning","2017",1519
"0765 Älmhult","landsting","2008",79
"0765 Älmhult","landsting","2009",83
"0765 Älmhult","landsting","2010",80
"0765 Älmhult","landsting","2011",87
"0765 Älmhult","landsting","2012",95
"0765 Älmhult","landsting","2013",90
"0765 Älmhult","landsting","2014",83
"0765 Älmhult","landsting","2015",95
"0765 Älmhult","landsting","2016",93
"0765 Älmhult","landsting","2017",100
"0765 Älmhult","kommunalt ägda företag och organisationer","2008",35
"0765 Älmhult","kommunalt ägda företag och organisationer","2009",33
"0765 Älmhult","kommunalt ägda företag och organisationer","2010",31
"0765 Älmhult","kommunalt ägda företag och organisationer","2011",31
"0765 Älmhult","kommunalt ägda företag och organisationer","2012",27
"0765 Älmhult","kommunalt ägda företag och organisationer","2013",33
"0765 Älmhult","kommunalt ägda företag och organisationer","2014",34
"0765 Älmhult","kommunalt ägda företag och organisationer","2015",32
"0765 Älmhult","kommunalt ägda företag och organisationer","2016",34
"0765 Älmhult","kommunalt ägda företag och organisationer","2017",33
"0767 Markaryd","primärkommunal förvaltning","2008",881
"0767 Markaryd","primärkommunal förvaltning","2009",842
"0767 Markaryd","primärkommunal förvaltning","2010",869
"0767 Markaryd","primärkommunal förvaltning","2011",845
"0767 Markaryd","primärkommunal förvaltning","2012",882
"0767 Markaryd","primärkommunal förvaltning","2013",879
"0767 Markaryd","primärkommunal förvaltning","2014",878
"0767 Markaryd","primärkommunal förvaltning","2015",916
"0767 Markaryd","primärkommunal förvaltning","2016",954
"0767 Markaryd","primärkommunal förvaltning","2017",1006
"0767 Markaryd","landsting","2008",61
"0767 Markaryd","landsting","2009",58
"0767 Markaryd","landsting","2010",56
"0767 Markaryd","landsting","2011",50
"0767 Markaryd","landsting","2012",57
"0767 Markaryd","landsting","2013",52
"0767 Markaryd","landsting","2014",61
"0767 Markaryd","landsting","2015",64
"0767 Markaryd","landsting","2016",71
"0767 Markaryd","landsting","2017",74
"0767 Markaryd","kommunalt ägda företag och organisationer","2008",6
"0767 Markaryd","kommunalt ägda företag och organisationer","2009",6
"0767 Markaryd","kommunalt ägda företag och organisationer","2010",8
"0767 Markaryd","kommunalt ägda företag och organisationer","2011",8
"0767 Markaryd","kommunalt ägda företag och organisationer","2012",11
"0767 Markaryd","kommunalt ägda företag och organisationer","2013",13
"0767 Markaryd","kommunalt ägda företag och organisationer","2014",10
"0767 Markaryd","kommunalt ägda företag och organisationer","2015",12
"0767 Markaryd","kommunalt ägda företag och organisationer","2016",11
"0767 Markaryd","kommunalt ägda företag och organisationer","2017",7
"0780 Växjö","primärkommunal förvaltning","2008",8008
"0780 Växjö","primärkommunal förvaltning","2009",7728
"0780 Växjö","primärkommunal förvaltning","2010",7703
"0780 Växjö","primärkommunal förvaltning","2011",7710
"0780 Växjö","primärkommunal förvaltning","2012",7721
"0780 Växjö","primärkommunal förvaltning","2013",7818
"0780 Växjö","primärkommunal förvaltning","2014",7905
"0780 Växjö","primärkommunal förvaltning","2015",8278
"0780 Växjö","primärkommunal förvaltning","2016",8742
"0780 Växjö","primärkommunal förvaltning","2017",8977
"0780 Växjö","landsting","2008",3546
"0780 Växjö","landsting","2009",3528
"0780 Växjö","landsting","2010",3574
"0780 Växjö","landsting","2011",3618
"0780 Växjö","landsting","2012",3692
"0780 Växjö","landsting","2013",3729
"0780 Växjö","landsting","2014",3761
"0780 Växjö","landsting","2015",3935
"0780 Växjö","landsting","2016",4022
"0780 Växjö","landsting","2017",4202
"0780 Växjö","kommunalt ägda företag och organisationer","2008",683
"0780 Växjö","kommunalt ägda företag och organisationer","2009",723
"0780 Växjö","kommunalt ägda företag och organisationer","2010",731
"0780 Växjö","kommunalt ägda företag och organisationer","2011",768
"0780 Växjö","kommunalt ägda företag och organisationer","2012",769
"0780 Växjö","kommunalt ägda företag och organisationer","2013",786
"0780 Växjö","kommunalt ägda företag och organisationer","2014",803
"0780 Växjö","kommunalt ägda företag och organisationer","2015",674
"0780 Växjö","kommunalt ägda företag och organisationer","2016",657
"0780 Växjö","kommunalt ägda företag och organisationer","2017",673
"0781 Ljungby","primärkommunal förvaltning","2008",2939
"0781 Ljungby","primärkommunal förvaltning","2009",2879
"0781 Ljungby","primärkommunal förvaltning","2010",2904
"0781 Ljungby","primärkommunal förvaltning","2011",2939
"0781 Ljungby","primärkommunal förvaltning","2012",2900
"0781 Ljungby","primärkommunal förvaltning","2013",2930
"0781 Ljungby","primärkommunal förvaltning","2014",3009
"0781 Ljungby","primärkommunal förvaltning","2015",2988
"0781 Ljungby","primärkommunal förvaltning","2016",3147
"0781 Ljungby","primärkommunal förvaltning","2017",3209
"0781 Ljungby","landsting","2008",890
"0781 Ljungby","landsting","2009",863
"0781 Ljungby","landsting","2010",866
"0781 Ljungby","landsting","2011",845
"0781 Ljungby","landsting","2012",843
"0781 Ljungby","landsting","2013",820
"0781 Ljungby","landsting","2014",821
"0781 Ljungby","landsting","2015",821
"0781 Ljungby","landsting","2016",833
"0781 Ljungby","landsting","2017",860
"0781 Ljungby","kommunalt ägda företag och organisationer","2008",120
"0781 Ljungby","kommunalt ägda företag och organisationer","2009",114
"0781 Ljungby","kommunalt ägda företag och organisationer","2010",114
"0781 Ljungby","kommunalt ägda företag och organisationer","2011",111
"0781 Ljungby","kommunalt ägda företag och organisationer","2012",113
"0781 Ljungby","kommunalt ägda företag och organisationer","2013",114
"0781 Ljungby","kommunalt ägda företag och organisationer","2014",109
"0781 Ljungby","kommunalt ägda företag och organisationer","2015",104
"0781 Ljungby","kommunalt ägda företag och organisationer","2016",110
"0781 Ljungby","kommunalt ägda företag och organisationer","2017",104
"0821 Högsby","primärkommunal förvaltning","2008",702
"0821 Högsby","primärkommunal förvaltning","2009",660
"0821 Högsby","primärkommunal förvaltning","2010",655
"0821 Högsby","primärkommunal förvaltning","2011",636
"0821 Högsby","primärkommunal förvaltning","2012",662
"0821 Högsby","primärkommunal förvaltning","2013",656
"0821 Högsby","primärkommunal förvaltning","2014",659
"0821 Högsby","primärkommunal förvaltning","2015",667
"0821 Högsby","primärkommunal förvaltning","2016",732
"0821 Högsby","primärkommunal förvaltning","2017",742
"0821 Högsby","landsting","2008",67
"0821 Högsby","landsting","2009",67
"0821 Högsby","landsting","2010",62
"0821 Högsby","landsting","2011",64
"0821 Högsby","landsting","2012",78
"0821 Högsby","landsting","2013",80
"0821 Högsby","landsting","2014",86
"0821 Högsby","landsting","2015",81
"0821 Högsby","landsting","2016",82
"0821 Högsby","landsting","2017",83
"0821 Högsby","kommunalt ägda företag och organisationer","2008",19
"0821 Högsby","kommunalt ägda företag och organisationer","2009",17
"0821 Högsby","kommunalt ägda företag och organisationer","2010",23
"0821 Högsby","kommunalt ägda företag och organisationer","2011",50
"0821 Högsby","kommunalt ägda företag och organisationer","2012",30
"0821 Högsby","kommunalt ägda företag och organisationer","2013",26
"0821 Högsby","kommunalt ägda företag och organisationer","2014",28
"0821 Högsby","kommunalt ägda företag och organisationer","2015",27
"0821 Högsby","kommunalt ägda företag och organisationer","2016",26
"0821 Högsby","kommunalt ägda företag och organisationer","2017",30
"0834 Torsås","primärkommunal förvaltning","2008",716
"0834 Torsås","primärkommunal förvaltning","2009",711
"0834 Torsås","primärkommunal förvaltning","2010",687
"0834 Torsås","primärkommunal förvaltning","2011",694
"0834 Torsås","primärkommunal förvaltning","2012",696
"0834 Torsås","primärkommunal förvaltning","2013",719
"0834 Torsås","primärkommunal förvaltning","2014",745
"0834 Torsås","primärkommunal förvaltning","2015",763
"0834 Torsås","primärkommunal förvaltning","2016",772
"0834 Torsås","primärkommunal förvaltning","2017",800
"0834 Torsås","landsting","2008",124
"0834 Torsås","landsting","2009",119
"0834 Torsås","landsting","2010",131
"0834 Torsås","landsting","2011",133
"0834 Torsås","landsting","2012",140
"0834 Torsås","landsting","2013",143
"0834 Torsås","landsting","2014",141
"0834 Torsås","landsting","2015",152
"0834 Torsås","landsting","2016",152
"0834 Torsås","landsting","2017",163
"0834 Torsås","kommunalt ägda företag och organisationer","2008",80
"0834 Torsås","kommunalt ägda företag och organisationer","2009",75
"0834 Torsås","kommunalt ägda företag och organisationer","2010",75
"0834 Torsås","kommunalt ägda företag och organisationer","2011",62
"0834 Torsås","kommunalt ägda företag och organisationer","2012",59
"0834 Torsås","kommunalt ägda företag och organisationer","2013",62
"0834 Torsås","kommunalt ägda företag och organisationer","2014",60
"0834 Torsås","kommunalt ägda företag och organisationer","2015",67
"0834 Torsås","kommunalt ägda företag och organisationer","2016",70
"0834 Torsås","kommunalt ägda företag och organisationer","2017",71
"0840 Mörbylånga","primärkommunal förvaltning","2008",1451
"0840 Mörbylånga","primärkommunal förvaltning","2009",1463
"0840 Mörbylånga","primärkommunal förvaltning","2010",1492
"0840 Mörbylånga","primärkommunal förvaltning","2011",1501
"0840 Mörbylånga","primärkommunal förvaltning","2012",1474
"0840 Mörbylånga","primärkommunal förvaltning","2013",1469
"0840 Mörbylånga","primärkommunal förvaltning","2014",1470
"0840 Mörbylånga","primärkommunal förvaltning","2015",1527
"0840 Mörbylånga","primärkommunal förvaltning","2016",1577
"0840 Mörbylånga","primärkommunal förvaltning","2017",1595
"0840 Mörbylånga","landsting","2008",401
"0840 Mörbylånga","landsting","2009",397
"0840 Mörbylånga","landsting","2010",401
"0840 Mörbylånga","landsting","2011",411
"0840 Mörbylånga","landsting","2012",422
"0840 Mörbylånga","landsting","2013",438
"0840 Mörbylånga","landsting","2014",447
"0840 Mörbylånga","landsting","2015",449
"0840 Mörbylånga","landsting","2016",456
"0840 Mörbylånga","landsting","2017",467
"0840 Mörbylånga","kommunalt ägda företag och organisationer","2008",182
"0840 Mörbylånga","kommunalt ägda företag och organisationer","2009",182
"0840 Mörbylånga","kommunalt ägda företag och organisationer","2010",184
"0840 Mörbylånga","kommunalt ägda företag och organisationer","2011",184
"0840 Mörbylånga","kommunalt ägda företag och organisationer","2012",237
"0840 Mörbylånga","kommunalt ägda företag och organisationer","2013",237
"0840 Mörbylånga","kommunalt ägda företag och organisationer","2014",238
"0840 Mörbylånga","kommunalt ägda företag och organisationer","2015",243
"0840 Mörbylånga","kommunalt ägda företag och organisationer","2016",242
"0840 Mörbylånga","kommunalt ägda företag och organisationer","2017",250
"0860 Hultsfred","primärkommunal förvaltning","2008",1500
"0860 Hultsfred","primärkommunal förvaltning","2009",1451
"0860 Hultsfred","primärkommunal förvaltning","2010",1412
"0860 Hultsfred","primärkommunal förvaltning","2011",1326
"0860 Hultsfred","primärkommunal förvaltning","2012",1323
"0860 Hultsfred","primärkommunal förvaltning","2013",1337
"0860 Hultsfred","primärkommunal förvaltning","2014",1392
"0860 Hultsfred","primärkommunal förvaltning","2015",1410
"0860 Hultsfred","primärkommunal förvaltning","2016",1502
"0860 Hultsfred","primärkommunal förvaltning","2017",1587
"0860 Hultsfred","landsting","2008",121
"0860 Hultsfred","landsting","2009",112
"0860 Hultsfred","landsting","2010",115
"0860 Hultsfred","landsting","2011",111
"0860 Hultsfred","landsting","2012",120
"0860 Hultsfred","landsting","2013",126
"0860 Hultsfred","landsting","2014",124
"0860 Hultsfred","landsting","2015",127
"0860 Hultsfred","landsting","2016",121
"0860 Hultsfred","landsting","2017",123
"0860 Hultsfred","kommunalt ägda företag och organisationer","2008",49
"0860 Hultsfred","kommunalt ägda företag och organisationer","2009",44
"0860 Hultsfred","kommunalt ägda företag och organisationer","2010",56
"0860 Hultsfred","kommunalt ägda företag och organisationer","2011",88
"0860 Hultsfred","kommunalt ägda företag och organisationer","2012",89
"0860 Hultsfred","kommunalt ägda företag och organisationer","2013",91
"0860 Hultsfred","kommunalt ägda företag och organisationer","2014",90
"0860 Hultsfred","kommunalt ägda företag och organisationer","2015",95
"0860 Hultsfred","kommunalt ägda företag och organisationer","2016",94
"0860 Hultsfred","kommunalt ägda företag och organisationer","2017",101
"0861 Mönsterås","primärkommunal förvaltning","2008",1404
"0861 Mönsterås","primärkommunal förvaltning","2009",1342
"0861 Mönsterås","primärkommunal förvaltning","2010",1342
"0861 Mönsterås","primärkommunal förvaltning","2011",1335
"0861 Mönsterås","primärkommunal förvaltning","2012",1347
"0861 Mönsterås","primärkommunal förvaltning","2013",1376
"0861 Mönsterås","primärkommunal förvaltning","2014",1358
"0861 Mönsterås","primärkommunal förvaltning","2015",1379
"0861 Mönsterås","primärkommunal förvaltning","2016",1476
"0861 Mönsterås","primärkommunal förvaltning","2017",1525
"0861 Mönsterås","landsting","2008",236
"0861 Mönsterås","landsting","2009",240
"0861 Mönsterås","landsting","2010",240
"0861 Mönsterås","landsting","2011",232
"0861 Mönsterås","landsting","2012",253
"0861 Mönsterås","landsting","2013",262
"0861 Mönsterås","landsting","2014",273
"0861 Mönsterås","landsting","2015",274
"0861 Mönsterås","landsting","2016",270
"0861 Mönsterås","landsting","2017",276
"0861 Mönsterås","kommunalt ägda företag och organisationer","2008",98
"0861 Mönsterås","kommunalt ägda företag och organisationer","2009",97
"0861 Mönsterås","kommunalt ägda företag och organisationer","2010",92
"0861 Mönsterås","kommunalt ägda företag och organisationer","2011",92
"0861 Mönsterås","kommunalt ägda företag och organisationer","2012",89
"0861 Mönsterås","kommunalt ägda företag och organisationer","2013",80
"0861 Mönsterås","kommunalt ägda företag och organisationer","2014",76
"0861 Mönsterås","kommunalt ägda företag och organisationer","2015",86
"0861 Mönsterås","kommunalt ägda företag och organisationer","2016",90
"0861 Mönsterås","kommunalt ägda företag och organisationer","2017",94
"0862 Emmaboda","primärkommunal förvaltning","2008",889
"0862 Emmaboda","primärkommunal förvaltning","2009",882
"0862 Emmaboda","primärkommunal förvaltning","2010",898
"0862 Emmaboda","primärkommunal förvaltning","2011",882
"0862 Emmaboda","primärkommunal förvaltning","2012",900
"0862 Emmaboda","primärkommunal förvaltning","2013",901
"0862 Emmaboda","primärkommunal förvaltning","2014",908
"0862 Emmaboda","primärkommunal förvaltning","2015",929
"0862 Emmaboda","primärkommunal förvaltning","2016",984
"0862 Emmaboda","primärkommunal förvaltning","2017",1027
"0862 Emmaboda","landsting","2008",90
"0862 Emmaboda","landsting","2009",96
"0862 Emmaboda","landsting","2010",92
"0862 Emmaboda","landsting","2011",79
"0862 Emmaboda","landsting","2012",84
"0862 Emmaboda","landsting","2013",85
"0862 Emmaboda","landsting","2014",94
"0862 Emmaboda","landsting","2015",101
"0862 Emmaboda","landsting","2016",110
"0862 Emmaboda","landsting","2017",112
"0862 Emmaboda","kommunalt ägda företag och organisationer","2008",68
"0862 Emmaboda","kommunalt ägda företag och organisationer","2009",74
"0862 Emmaboda","kommunalt ägda företag och organisationer","2010",80
"0862 Emmaboda","kommunalt ägda företag och organisationer","2011",76
"0862 Emmaboda","kommunalt ägda företag och organisationer","2012",80
"0862 Emmaboda","kommunalt ägda företag och organisationer","2013",74
"0862 Emmaboda","kommunalt ägda företag och organisationer","2014",70
"0862 Emmaboda","kommunalt ägda företag och organisationer","2015",75
"0862 Emmaboda","kommunalt ägda företag och organisationer","2016",70
"0862 Emmaboda","kommunalt ägda företag och organisationer","2017",77
"0880 Kalmar","primärkommunal förvaltning","2008",5934
"0880 Kalmar","primärkommunal förvaltning","2009",5907
"0880 Kalmar","primärkommunal förvaltning","2010",6121
"0880 Kalmar","primärkommunal förvaltning","2011",6174
"0880 Kalmar","primärkommunal förvaltning","2012",6244
"0880 Kalmar","primärkommunal förvaltning","2013",6197
"0880 Kalmar","primärkommunal förvaltning","2014",6379
"0880 Kalmar","primärkommunal förvaltning","2015",6456
"0880 Kalmar","primärkommunal förvaltning","2016",6832
"0880 Kalmar","primärkommunal förvaltning","2017",6889
"0880 Kalmar","landsting","2008",2446
"0880 Kalmar","landsting","2009",2452
"0880 Kalmar","landsting","2010",2499
"0880 Kalmar","landsting","2011",2512
"0880 Kalmar","landsting","2012",2574
"0880 Kalmar","landsting","2013",2679
"0880 Kalmar","landsting","2014",2738
"0880 Kalmar","landsting","2015",2833
"0880 Kalmar","landsting","2016",2925
"0880 Kalmar","landsting","2017",3007
"0880 Kalmar","kommunalt ägda företag och organisationer","2008",992
"0880 Kalmar","kommunalt ägda företag och organisationer","2009",995
"0880 Kalmar","kommunalt ägda företag och organisationer","2010",924
"0880 Kalmar","kommunalt ägda företag och organisationer","2011",948
